,T(K),F(KG),U(mV),I(A)
"data(90,3)",89.92499999999997,2.9999730000000033,0.0070503055555555545,0.049996000000000054
"data(90,4)",89.95073529411764,3.9999977794117636,0.0070662352941176475,0.04999600000000005
"data(90,5)",90.03394366197182,4.999951000000006,0.007207760563380282,0.049996000000000054
"data(91,-0)",90.98370370370365,4.4000000000000026e-05,0.006227592592592591,-0.04999600000000002
"data(91,-1)",91.05216666666666,0.9999200000000013,0.006901133333333334,-0.049996000000000033
"data(91,-2)",90.99766666666667,1.9999459999999978,0.006592166666666665,-0.049996000000000033
"data(91,-3)",90.95421052631579,3.0000919999999978,0.005602596491228067,-0.04999600000000003
"data(91,-4)",90.86383720930229,3.9999530000000036,0.006190162790697674,-0.04999600000000007
"data(91,-5)",91.01716981132076,4.999900999999997,0.005952150943396225,-0.04999600000000002
"data(91,0)",91.01564102564112,4.400000000000008e-05,0.0066455256410256425,0.04999600000000006
"data(91,1)",90.97966666666672,0.9999200000000013,0.007129816666666667,0.049996000000000033
"data(91,2)",91.00050000000003,1.9999459999999978,0.007428733333333331,0.049996000000000033
"data(91,3)",90.96847457627122,3.0000919999999973,0.007049322033898305,0.049996000000000033
"data(91,4)",91.11316455696198,3.9999530000000036,0.007649493670886079,0.04999600000000006
"data(91,5)",91.02966101694918,4.9999009999999995,0.007678881355932202,0.049996000000000033
"data(91.5,-0)",91.49729729729725,0.00020399999999999975,0.006115594594594595,-0.049996000000000054
"data(91.5,-1)",91.5005479452055,0.9999880000000007,0.005118972602739727,-0.049996000000000054
"data(91.5,-2)",91.50042253521126,1.999996999999998,0.005136394366197184,-0.049996000000000054
"data(91.5,-3)",91.49883720930231,3.000059000000004,0.005218201550387601,-0.049996000000000096
"data(91.5,-4)",91.499696969697,3.999973000000004,0.004034,-0.04999600000000004
"data(91.5,-5)",91.49816666666666,5.001937999999997,0.003964783333333332,-0.049996000000000033
"data(91.5,0)",91.50521739130436,0.00020399999999999978,0.0062807101449275345,0.04999600000000005
"data(91.5,1)",91.4953246753247,0.9999880000000008,0.006841090909090908,0.04999600000000006
"data(91.5,2)",91.49882352941181,1.9999969999999976,0.006918220588235295,0.04999600000000005
"data(91.5,3)",91.50423076923086,3.000059,0.006952067307692307,0.04999600000000008
"data(91.5,4)",91.50338709677419,3.9999730000000047,0.005821048387096774,0.049996000000000033
"data(91.5,5)",91.50328125,5.001937999999997,0.005720234375,0.04999600000000004
