Untitled,Untitled 1
0.139473,0.015333
0.139799,0.015008
0.141102,0.014356
0.140776,0.014682
0.141102,0.014682
0.14208,0.015333
0.140776,0.014356
0.143057,0.015008
0.147619,0.015659
0.147293,0.015333
0.149248,0.013704
0.151529,0.013704
0.153484,0.013704
0.155438,0.013704
0.157393,0.014356
0.159023,0.013704
0.159674,0.013379
0.161303,0.013704
0.162607,0.012727
0.162932,0.013053
0.163258,0.012727
0.164887,0.012401
0.164887,0.012075
0.166517,0.012075
0.166191,0.011749
0.167494,0.012401
0.167494,0.011424
0.167494,0.011098
0.168471,0.011424
0.170101,0.011098
0.17173,0.011098
0.174988,0.01012
0.176291,0.009143
0.17792,0.009143
0.180201,0.008165
0.181179,0.008165
0.182808,0.007514
0.183459,0.007839
0.184437,0.006536
0.185089,0.007514
0.184763,0.007188
0.186392,0.006536
0.187044,0.00621
0.187369,0.005885
0.187369,0.005233
0.188673,0.004907
0.189976,0.004907
0.189976,0.004255
0.191279,0.005233
0.190953,0.004581
0.191279,0.005233
0.193886,0.004581
0.195189,0.004581
0.197144,0.004255
0.199751,0.002952
0.202357,0.002952
0.203335,0.001975
0.205616,0.002626
0.208222,0.0023
0.208874,0.001323
0.210829,0.001975
0.210829,0.001323
0.212784,0.0023
0.213435,0.0023
0.214413,0.001323
0.214739,0.0023
0.21539,0.0023
0.21539,0.003604
0.214413,0.003604
0.215065,0.00393
0.216694,0.00393
0.218323,0.00393
0.219626,0.003604
0.221581,0.004255
0.223862,0.005233
0.225165,0.005233
0.226143,0.005885
0.228749,0.007839
0.230704,0.008491
0.231682,0.009794
0.231682,0.010446
0.233637,0.011098
0.234288,0.011749
0.235917,0.013053
0.236569,0.014356
0.236569,0.014682
0.237872,0.014356
0.237872,0.015008
0.237872,0.015659
0.240153,0.015659
0.241131,0.016637
0.243737,0.017614
0.245692,0.018918
0.24667,0.019243
0.24895,0.019895
0.249928,0.020873
0.251231,0.021198
0.25286,0.020547
0.254489,0.021524
0.255141,0.022176
0.25677,0.022502
0.257096,0.022176
0.258399,0.022827
0.259703,0.022502
0.259703,0.022176
0.26068,0.022176
0.260354,0.023153
0.260354,0.023805
0.26068,0.022176
0.26068,0.02185
0.262961,0.022502
0.265242,0.023805
0.266219,0.023153
0.268826,0.023153
0.269477,0.022502
0.273387,0.022502
0.273387,0.022502
0.274039,0.022176
0.275994,0.022827
0.276971,0.021524
0.278275,0.02185
0.279252,0.021524
0.28023,0.021198
0.279578,0.020873
0.281207,0.020547
0.282185,0.020547
0.281859,0.019569
